ProblemId,Result,TotalTime
CIFAR_P93_N25,outofmemory,38.317
CIFAR_P14_N31,VerinetTranslatorError(Div operations are not supported.),0.9221
CIFAR_P21_N45,VerinetTranslatorError(Div operations are not supported.),0.7543
CIFAR_P3_N45,VerinetTranslatorError(Div operations are not supported.),0.8671
CIFAR_P37_N38,VerinetTranslatorError(Div operations are not supported.),0.7884
CIFAR_P21_N44,VerinetTranslatorError(Div operations are not supported.),0.7658
CIFAR_P89_N19,VerinetTranslatorError(MaxPool operations are not supported.),0.9632
CIFAR_P15_N22,VerinetTranslatorError(Div operations are not supported.),0.6577
CIFAR_P23_N18,sat,8.4651
CIFAR_P46_N29,VerinetTranslatorError(Transpose operations are not supported.),0.6499
CIFAR_P14_N21,VerinetTranslatorError(Div operations are not supported.),0.7772
CIFAR_P67_N16,VerinetTranslatorError(Div operations are not supported.),0.6374
CIFAR_P77_N41,VerinetTranslatorError(Div operations are not supported.),0.8133
CIFAR_P93_N22,VerinetTranslatorError(Div operations are not supported.),0.7436
CIFAR_P57_N19,VerinetTranslatorError(MaxPool operations are not supported.),0.9723
CIFAR_P74_N19,VerinetTranslatorError(MaxPool operations are not supported.),0.8655
CIFAR_P85_N6,VerinetTranslatorError(Div operations are not supported.),1.0888
CIFAR_P39_N15,sat,27.7108
CIFAR_P95_N28,VerinetTranslatorError(Div operations are not supported.),0.8787
CIFAR_P77_N6,VerinetTranslatorError(Div operations are not supported.),1.1482
CIFAR_P16_N25,outofmemory,37.692
CIFAR_P27_N47,VerinetTranslatorError(Div operations are not supported.),0.9529
CIFAR_P45_N24,VerinetTranslatorError(Div operations are not supported.),0.9431
CIFAR_P53_N42,sat,39.5501
CIFAR_P67_N44,VerinetTranslatorError(Div operations are not supported.),0.7538
CIFAR_P7_N23,VerinetTranslatorError(Div operations are not supported.),0.7667
CIFAR_P12_N29,VerinetTranslatorError(Transpose operations are not supported.),0.736
CIFAR_P20_N47,VerinetTranslatorError(Div operations are not supported.),0.7327
CIFAR_P52_N37,VerinetTranslatorError(Div operations are not supported.),0.8608
CIFAR_P69_N7,VerinetTranslatorError(Div operations are not supported.),0.7328
CIFAR_P14_N20,VerinetTranslatorError(Div operations are not supported.),0.8258
CIFAR_P74_N1,VerinetTranslatorError(Div operations are not supported.),0.9358
CIFAR_P44_N28,VerinetTranslatorError(Div operations are not supported.),0.849
CIFAR_P78_N34,sat,6.9819
CIFAR_P79_N20,VerinetTranslatorError(Div operations are not supported.),0.8355
CIFAR_P88_N25,outofmemory,39.624
CIFAR_P97_N18,sat,6.7333
CIFAR_P45_N9,VerinetTranslatorError(Div operations are not supported.),1.324
CIFAR_P74_N32,sat,6.6931
CIFAR_P36_N43,VerinetTranslatorError(Div operations are not supported.),0.7802
CIFAR_P71_N37,VerinetTranslatorError(Div operations are not supported.),0.7934
CIFAR_P14_N43,VerinetTranslatorError(Div operations are not supported.),0.7751
CIFAR_P6_N29,VerinetTranslatorError(Transpose operations are not supported.),0.6283
CIFAR_P92_N14,VerinetTranslatorError(Div operations are not supported.),0.7909
CIFAR_P33_N23,VerinetTranslatorError(Div operations are not supported.),0.7708
CIFAR_P43_N44,VerinetTranslatorError(Div operations are not supported.),0.7181
CIFAR_P47_N41,VerinetTranslatorError(Div operations are not supported.),1.0503
CIFAR_P44_N13,sat,30.3394
CIFAR_P84_N37,VerinetTranslatorError(Div operations are not supported.),0.7971
CIFAR_P88_N8,VerinetTranslatorError(Transpose operations are not supported.),0.7022
CIFAR_P93_N32,sat,37.3808
CIFAR_P40_N42,sat,42.3265
CIFAR_P47_N3,VerinetTranslatorError(Transpose operations are not supported.),0.6882
CIFAR_P82_N23,VerinetTranslatorError(Div operations are not supported.),0.7627
CIFAR_P46_N27,VerinetTranslatorError(Div operations are not supported.),0.6916
CIFAR_P12_N42,sat,22.1822
CIFAR_P26_N46,VerinetTranslatorError(Div operations are not supported.),0.7447
CIFAR_P48_N27,VerinetTranslatorError(Div operations are not supported.),0.6986
CIFAR_P10_N9,VerinetTranslatorError(Div operations are not supported.),1.1937
CIFAR_P40_N22,VerinetTranslatorError(Div operations are not supported.),0.6553
CIFAR_P54_N22,VerinetTranslatorError(Div operations are not supported.),0.6404
CIFAR_P42_N23,VerinetTranslatorError(Div operations are not supported.),1.1121
CIFAR_P57_N5,outofmemory,36.241
CIFAR_P74_N18,sat,8.4838
CIFAR_P89_N21,VerinetTranslatorError(Div operations are not supported.),0.832
CIFAR_P14_N15,sat,10.4533
CIFAR_P33_N4,unsat,62.7518
CIFAR_P43_N33,VerinetTranslatorError(Div operations are not supported.),0.7633
CIFAR_P30_N2,sat,38.7841
CIFAR_P63_N8,VerinetTranslatorError(Transpose operations are not supported.),0.6363
CIFAR_P53_N34,sat,14.8365
CIFAR_P30_N3,VerinetTranslatorError(Transpose operations are not supported.),0.8001
CIFAR_P46_N47,VerinetTranslatorError(Div operations are not supported.),0.8738
