ProblemId,Result,TotalTime
CIFAR_P74_N38,BabTranslatorError(Unsupported computation graph detected),1.1792
CIFAR_P64_N44,BabTranslatorError(Unsupported computation graph detected),1.6308
CIFAR_P16_N17,sat,556.9067
CIFAR_P55_N24,BabTranslatorError(Unsupported computation graph detected),1.5027
CIFAR_P4_N37,BabTranslatorError(Unsupported computation graph detected),1.4099
CIFAR_P64_N33,BabTranslatorError(Unsupported computation graph detected),1.287
CIFAR_P83_N24,BabTranslatorError(Unsupported computation graph detected),1.367
CIFAR_P85_N17,sat,578.8645
CIFAR_P92_N42,sat,561.3279
CIFAR_P62_N18,sat,2063.1488
CIFAR_P65_N1,BabTranslatorError(Unsupported computation graph detected),1.4347
CIFAR_P93_N17,sat,559.7532
CIFAR_P0_N23,BabTranslatorError(Unsupported computation graph detected),1.3045
CIFAR_P32_N21,BabTranslatorError(Unsupported computation graph detected),1.1563
CIFAR_P31_N6,BabTranslatorError(Unsupported computation graph detected),1.6203
CIFAR_P36_N17,timeout,3600.021
CIFAR_P13_N44,BabTranslatorError(Unsupported computation graph detected),1.5768
CIFAR_P38_N30,BabTranslatorError(Unsupported computation graph detected),1.9948
CIFAR_P71_N21,BabTranslatorError(Unsupported computation graph detected),1.4762
CIFAR_P77_N31,BabTranslatorError(Unsupported computation graph detected),1.4502
CIFAR_P9_N45,BabTranslatorError(Unsupported computation graph detected),1.4616
CIFAR_P40_N2,timeout,3600.015
CIFAR_P78_N2,timeout,3600.02
CIFAR_P69_N3,BabTranslatorError(Unsupported computation graph detected),1.0179
CIFAR_P34_N12,BabTranslatorError(Unsupported computation graph detected),1.1145
CIFAR_P74_N17,timeout,3600.025
CIFAR_P2_N42,sat,563.2517
CIFAR_P30_N12,BabTranslatorError(Unsupported computation graph detected),1.2799
CIFAR_P91_N19,BabTranslatorError(Unsupported computation graph detected),1.8846
CIFAR_P33_N5,outofmemory,175.259
CIFAR_P75_N30,BabTranslatorError(Unsupported computation graph detected),1.981
CIFAR_P83_N12,BabTranslatorError(Unsupported computation graph detected),1.1989
CIFAR_P89_N35,BabTranslatorError(Unsupported computation graph detected),1.6666
CIFAR_P72_N13,sat,1579.8922
CIFAR_P38_N8,BabTranslatorError(Unsupported computation graph detected),1.0587
CIFAR_P90_N17,sat,539.188
CIFAR_P95_N19,BabTranslatorError(Unsupported computation graph detected),1.5376
CIFAR_P8_N22,BabTranslatorError(Unsupported computation graph detected),0.9237
CIFAR_P74_N30,BabTranslatorError(Unsupported computation graph detected),1.8065
CIFAR_P58_N23,BabTranslatorError(Unsupported computation graph detected),1.3167
CIFAR_P45_N44,BabTranslatorError(Unsupported computation graph detected),1.5362
CIFAR_P30_N47,BabTranslatorError(Unsupported computation graph detected),0.9177
CIFAR_P23_N38,BabTranslatorError(Unsupported computation graph detected),1.1619
CIFAR_P0_N1,BabTranslatorError(Unsupported computation graph detected),1.3679
CIFAR_P1_N47,BabTranslatorError(Unsupported computation graph detected),1.0141
CIFAR_P58_N21,BabTranslatorError(Unsupported computation graph detected),1.3081
CIFAR_P41_N35,BabTranslatorError(Unsupported computation graph detected),1.2826
CIFAR_P22_N14,BabTranslatorError(Unsupported computation graph detected),1.4922
CIFAR_P60_N27,BabTranslatorError(Unsupported computation graph detected),1.011
CIFAR_P90_N8,BabTranslatorError(Unsupported computation graph detected),1.0405
CIFAR_P94_N32,timeout,3600.001
CIFAR_P84_N30,BabTranslatorError(Unsupported computation graph detected),1.8298
CIFAR_P82_N20,BabTranslatorError(Unsupported computation graph detected),1.3831
CIFAR_P1_N18,timeout,3600.026
CIFAR_P78_N34,timeout,3600.001
CIFAR_P79_N41,BabTranslatorError(Unsupported computation graph detected),1.474
CIFAR_P28_N37,BabTranslatorError(Unsupported computation graph detected),1.38
CIFAR_P12_N20,BabTranslatorError(Unsupported computation graph detected),1.0128
CIFAR_P71_N37,BabTranslatorError(Unsupported computation graph detected),1.6069
CIFAR_P64_N18,timeout,3600.004
CIFAR_P37_N14,BabTranslatorError(Unsupported computation graph detected),1.6377
CIFAR_P61_N30,BabTranslatorError(Unsupported computation graph detected),1.8604
CIFAR_P9_N24,BabTranslatorError(Unsupported computation graph detected),1.6363
CIFAR_P58_N19,BabTranslatorError(Unsupported computation graph detected),1.836
CIFAR_P91_N13,sat,1456.5152
CIFAR_P69_N25,outofmemory,169.287
CIFAR_P67_N6,BabTranslatorError(Unsupported computation graph detected),1.7282
CIFAR_P6_N4,timeout,3600.009
CIFAR_P60_N43,BabTranslatorError(Unsupported computation graph detected),1.1765
CIFAR_P82_N7,BabTranslatorError(Unsupported computation graph detected),1.3206
CIFAR_P50_N5,outofmemory,172.27
CIFAR_P80_N38,BabTranslatorError(Unsupported computation graph detected),1.5997
CIFAR_P99_N23,BabTranslatorError(Unsupported computation graph detected),1.5736
CIFAR_P28_N21,BabTranslatorError(Unsupported computation graph detected),1.6267
CIFAR_P94_N45,BabTranslatorError(Unsupported computation graph detected),1.3271
