ProblemId,Result,TotalTime
CIFAR_P17_N44,NnenumError(Return code: 1),13.7925
CIFAR_P29_N7,NnenumError(Return code: 1),13.8081
CIFAR_P11_N27,NnenumError(Return code: 1),14.1528
CIFAR_P20_N2,outofmemory,80.938
CIFAR_P3_N42,outofmemory,67.652
CIFAR_P31_N32,outofmemory,54.149
CIFAR_P75_N15,unsat,221.0532
CIFAR_P91_N9,NnenumError(Return code: 1),15.0785
CIFAR_P28_N8,NnenumError(Return code: 1),13.1085
CIFAR_P87_N18,outofmemory,70.106
CIFAR_P92_N46,NnenumError(Return code: 1),14.3128
CIFAR_P39_N32,outofmemory,54.1
CIFAR_P63_N42,outofmemory,67.118
CIFAR_P14_N14,NnenumError(Return code: 1),13.6113
CIFAR_P96_N31,NnenumError(Return code: 1),14.2384
CIFAR_P96_N1,NnenumError(Return code: 1),14.4586
CIFAR_P86_N17,unsat,121.999
CIFAR_P99_N44,NnenumError(Return code: 1),14.5302
CIFAR_P0_N6,NnenumError(Return code: 1),13.5222
CIFAR_P99_N46,NnenumError(Return code: 1),14.3313
CIFAR_P25_N2,unsat,213.1412
CIFAR_P62_N25,outofmemory,113.68
CIFAR_P78_N29,NnenumError(Return code: 1),11.1938
CIFAR_P82_N35,NnenumError(Return code: 1),13.8
CIFAR_P23_N47,NnenumError(Return code: 1),5.6638
CIFAR_P55_N32,outofmemory,99.556
CIFAR_P83_N4,outofmemory,89.287
CIFAR_P11_N45,NnenumError(Return code: 1),7.5353
CIFAR_P45_N35,NnenumError(Return code: 1),6.7398
CIFAR_P37_N35,NnenumError(Return code: 1),10.1022
CIFAR_P25_N18,unsat,144.2189
CIFAR_P89_N22,NnenumError(Return code: 1),6.3577
CIFAR_P6_N44,NnenumError(Return code: 1),10.2573
CIFAR_P28_N23,NnenumError(Return code: 1),9.9973
CIFAR_P97_N26,NnenumError(Return code: 1),10.7079
CIFAR_P36_N25,outofmemory,281.868
CIFAR_P16_N44,NnenumError(Return code: 1),10.8968
CIFAR_P58_N25,outofmemory,156.182
CIFAR_P6_N1,NnenumError(Return code: 1),14.4406
CIFAR_P46_N34,outofmemory,120.008
CIFAR_P81_N2,outofmemory,116.017
CIFAR_P74_N3,NnenumError(Return code: 1),12.2031
CIFAR_P11_N16,NnenumError(Return code: 1),11.4804
CIFAR_P26_N12,NnenumError(Return code: 1),11.5046
CIFAR_P28_N45,NnenumError(Return code: 1),8.7049
CIFAR_P59_N14,NnenumError(Return code: 1),8.966
CIFAR_P67_N28,NnenumError(Return code: 1),10.1847
CIFAR_P57_N17,outofmemory,84.144
CIFAR_P16_N9,NnenumError(Return code: 1),11.587
CIFAR_P71_N6,NnenumError(Return code: 1),10.9447
CIFAR_P6_N23,NnenumError(Return code: 1),11.307
CIFAR_P32_N7,NnenumError(Return code: 1),11.0286
CIFAR_P29_N41,NnenumError(Return code: 1),9.9393
CIFAR_P83_N3,NnenumError(Return code: 1),8.7421
CIFAR_P49_N6,NnenumError(Return code: 1),11.9626
CIFAR_P70_N46,NnenumError(Return code: 1),11.857
CIFAR_P8_N12,NnenumError(Return code: 1),11.6483
CIFAR_P6_N15,outofmemory,128.623
CIFAR_P41_N28,NnenumError(Return code: 1),12.8279
CIFAR_P37_N13,outofmemory,92.186
CIFAR_P59_N18,outofmemory,103.099
CIFAR_P36_N45,NnenumError(Return code: 1),8.1825
CIFAR_P78_N23,NnenumError(Return code: 1),8.4427
CIFAR_P50_N41,NnenumError(Return code: 1),8.5855
CIFAR_P88_N29,NnenumError(Return code: 1),7.6348
CIFAR_P2_N47,NnenumError(Return code: 1),6.5727
CIFAR_P15_N44,NnenumError(Return code: 1),8.1332
CIFAR_P17_N45,NnenumError(Return code: 1),7.8528
CIFAR_P69_N13,outofmemory,88.144
CIFAR_P48_N17,outofmemory,94.608
CIFAR_P10_N14,NnenumError(Return code: 1),9.9913
CIFAR_P66_N15,outofmemory,126.036
CIFAR_P33_N25,outofmemory,157.488
CIFAR_P84_N8,NnenumError(Return code: 1),8.1348
CIFAR_P19_N42,outofmemory,78.496
CIFAR_P84_N43,NnenumError(Return code: 1),10.4304
CIFAR_P96_N29,NnenumError(Return code: 1),10.1089
CIFAR_P56_N45,NnenumError(Return code: 1),11.0236
CIFAR_P18_N38,NnenumError(Return code: 1),10.9383
CIFAR_P24_N4,outofmemory,85.31
CIFAR_P27_N13,outofmemory,78.144
CIFAR_P60_N19,NnenumError(Return code: 1),9.3899
CIFAR_P30_N16,NnenumError(Return code: 1),8.9089
CIFAR_P60_N47,NnenumError(Return code: 1),8.3163
CIFAR_P94_N22,NnenumError(Return code: 1),7.9419
CIFAR_P78_N15,outofmemory,129.582
CIFAR_P42_N38,NnenumError(Return code: 1),8.6404
CIFAR_P42_N47,NnenumError(Return code: 1),7.8967
CIFAR_P98_N3,NnenumError(Return code: 1),7.7275
CIFAR_P99_N3,NnenumError(Return code: 1),7.3492
CIFAR_P18_N42,outofmemory,80.558
CIFAR_P24_N30,NnenumError(Return code: 1),9.5461
CIFAR_P68_N30,NnenumError(Return code: 1),9.6468
