ProblemId,Result,TotalTime
CIFAR_P18_N38,MarabouError(Return code: 1),6.8039
CIFAR_P50_N5,outofmemory,150.709
CIFAR_P68_N5,outofmemory,183.677
CIFAR_P40_N37,MarabouError(Return code: 1),6.7639
CIFAR_P87_N44,MarabouError(Return code: 1),6.7
CIFAR_P43_N46,MarabouError(Return code: 1),6.5527
CIFAR_P61_N16,MarabouError(Return code: 1),6.692
CIFAR_P25_N38,MarabouError(Return code: 1),6.8509
CIFAR_P89_N4,timeout,3600.019
CIFAR_P44_N7,MarabouError(Return code: 1),6.7199
CIFAR_P97_N8,timeout,3600.001
CIFAR_P33_N29,timeout,3600.017
CIFAR_P44_N24,MarabouError(Return code: 1),6.4848
CIFAR_P62_N32,unsat,138.762
CIFAR_P65_N4,timeout,3600.017
CIFAR_P79_N2,outofmemory,112.601
CIFAR_P17_N25,outofmemory,156.045
CIFAR_P75_N33,MarabouError(Return code: 1),6.845
CIFAR_P7_N35,MarabouError(Return code: 1),6.8882
CIFAR_P91_N23,MarabouError(Return code: 1),6.947
CIFAR_P20_N47,MarabouError(Return code: 1),6.6653
CIFAR_P11_N37,MarabouError(Return code: 1),6.8614
CIFAR_P19_N42,timeout,3600.018
CIFAR_P88_N13,unsat,139.6368
CIFAR_P52_N16,MarabouError(Return code: 1),2.2563
CIFAR_P84_N6,MarabouError(Return code: 1),3.7379
CIFAR_P89_N46,MarabouError(Return code: 1),3.6416
CIFAR_P89_N23,MarabouError(Return code: 1),3.5089
CIFAR_P29_N33,MarabouError(Return code: 1),3.4854
CIFAR_P72_N14,MarabouError(Return code: 1),3.5447
CIFAR_P69_N14,MarabouError(Return code: 1),2.8046
CIFAR_P87_N33,MarabouError(Return code: 1),3.6547
CIFAR_P37_N15,outofmemory,119.395
CIFAR_P6_N45,MarabouError(Return code: 1),3.5432
CIFAR_P95_N30,MarabouError(Return code: 1),2.9191
CIFAR_P88_N24,MarabouError(Return code: 1),2.5151
CIFAR_P35_N32,unsat,128.3213
CIFAR_P98_N34,unsat,88.5006
CIFAR_P2_N17,timeout,3600.045
CIFAR_P25_N12,MarabouError(Return code: 1),2.6083
CIFAR_P36_N42,timeout,3600.001
CIFAR_P71_N29,timeout,3600.009
CIFAR_P16_N27,MarabouError(Return code: 1),2.5625
CIFAR_P58_N25,outofmemory,167.25
CIFAR_P34_N22,MarabouError(Return code: 1),2.6973
CIFAR_P42_N38,MarabouError(Return code: 1),2.8052
CIFAR_P29_N28,MarabouError(Return code: 1),3.128
CIFAR_P21_N20,MarabouError(Return code: 1),2.7672
CIFAR_P10_N4,timeout,3600.009
CIFAR_P31_N8,timeout,3600.053
CIFAR_P11_N22,MarabouError(Return code: 1),2.2515
CIFAR_P47_N19,MarabouError(Return code: 1),2.3905
CIFAR_P12_N9,MarabouError(Return code: 1),3.5991
CIFAR_P44_N34,unsat,84.2897
CIFAR_P8_N19,MarabouError(Return code: 1),2.1025
CIFAR_P40_N7,MarabouError(Return code: 1),2.5227
CIFAR_P43_N4,timeout,3600.015
CIFAR_P65_N45,MarabouError(Return code: 1),2.0461
CIFAR_P89_N32,unsat,122.5922
CIFAR_P56_N37,MarabouError(Return code: 1),2.5499
CIFAR_P22_N30,MarabouError(Return code: 1),2.2661
CIFAR_P11_N28,MarabouError(Return code: 1),2.2814
CIFAR_P1_N5,outofmemory,132.727
CIFAR_P90_N26,MarabouError(Return code: 1),1.9921
CIFAR_P3_N38,MarabouError(Return code: 1),1.7918
CIFAR_P69_N7,MarabouError(Return code: 1),1.5322
CIFAR_P56_N20,MarabouError(Return code: 1),1.6564
CIFAR_P12_N23,MarabouError(Return code: 1),1.5494
CIFAR_P53_N9,MarabouError(Return code: 1),2.3146
CIFAR_P19_N21,MarabouError(Return code: 1),1.7956
CIFAR_P57_N24,MarabouError(Return code: 1),1.8549
CIFAR_P21_N5,outofmemory,124.028
CIFAR_P92_N2,outofmemory,84.098
CIFAR_P15_N27,MarabouError(Return code: 1),1.493
CIFAR_P90_N30,MarabouError(Return code: 1),1.8244
CIFAR_P98_N28,MarabouError(Return code: 1),2.0062
CIFAR_P40_N12,MarabouError(Return code: 1),1.8643
CIFAR_P44_N45,MarabouError(Return code: 1),1.9958
CIFAR_P55_N45,MarabouError(Return code: 1),1.5836
