ProblemId,Result,TotalTime
CIFAR_P95_N3,NeurifyTranslatorError(Unsupported computation graph detected),1.177
CIFAR_P55_N42,sat,1.1947
CIFAR_P84_N21,NeurifyTranslatorError(Unsupported computation graph detected),1.0647
CIFAR_P9_N26,NeurifyTranslatorError(Unsupported computation graph detected),1.1467
CIFAR_P16_N5,sat,3.9401
CIFAR_P13_N30,NeurifyTranslatorError(Unsupported computation graph detected),1.1197
CIFAR_P70_N31,NeurifyTranslatorError(Unsupported computation graph detected),1.0636
CIFAR_P15_N17,sat,4.8541
CIFAR_P26_N44,NeurifyTranslatorError(Unsupported computation graph detected),0.8757
CIFAR_P59_N18,sat,6.9842
CIFAR_P81_N5,sat,3.4101
CIFAR_P82_N14,NeurifyTranslatorError(Unsupported computation graph detected),0.896
CIFAR_P83_N19,NeurifyTranslatorError(Unsupported computation graph detected),1.4473
CIFAR_P76_N41,NeurifyTranslatorError(Unsupported computation graph detected),0.8888
CIFAR_P93_N43,NeurifyTranslatorError(Unsupported computation graph detected),1.0699
CIFAR_P75_N5,outofmemory,40.688
CIFAR_P11_N35,NeurifyTranslatorError(Unsupported computation graph detected),0.9955
CIFAR_P34_N34,sat,1.4816
CIFAR_P40_N23,NeurifyTranslatorError(Unsupported computation graph detected),0.9354
CIFAR_P84_N46,NeurifyTranslatorError(Unsupported computation graph detected),1.1523
CIFAR_P97_N41,NeurifyTranslatorError(Unsupported computation graph detected),0.8734
CIFAR_P55_N31,NeurifyTranslatorError(Unsupported computation graph detected),0.9894
CIFAR_P52_N38,NeurifyTranslatorError(Unsupported computation graph detected),0.9651
CIFAR_P60_N29,NeurifyTranslatorError(Unsupported computation graph detected),1.1942
CIFAR_P0_N6,NeurifyTranslatorError(Unsupported computation graph detected),0.9782
CIFAR_P23_N29,NeurifyTranslatorError(Unsupported computation graph detected),0.8731
CIFAR_P81_N47,NeurifyTranslatorError(Unsupported computation graph detected),0.8657
CIFAR_P18_N14,NeurifyTranslatorError(Unsupported computation graph detected),0.811
CIFAR_P42_N34,sat,1.4067
CIFAR_P16_N6,NeurifyTranslatorError(Unsupported computation graph detected),1.0657
CIFAR_P73_N37,NeurifyTranslatorError(Unsupported computation graph detected),0.857
CIFAR_P90_N4,sat,9.6059
CIFAR_P47_N46,NeurifyTranslatorError(Unsupported computation graph detected),0.8687
CIFAR_P43_N9,NeurifyTranslatorError(Unsupported computation graph detected),0.9497
CIFAR_P94_N19,NeurifyTranslatorError(Unsupported computation graph detected),0.9949
CIFAR_P45_N7,NeurifyTranslatorError(Unsupported computation graph detected),1.0665
CIFAR_P92_N41,NeurifyTranslatorError(Unsupported computation graph detected),0.8067
CIFAR_P10_N27,NeurifyTranslatorError(Unsupported computation graph detected),0.807
CIFAR_P95_N6,NeurifyTranslatorError(Unsupported computation graph detected),1.5686
CIFAR_P4_N23,NeurifyTranslatorError(Unsupported computation graph detected),0.7919
CIFAR_P59_N33,NeurifyTranslatorError(Unsupported computation graph detected),0.9851
CIFAR_P25_N23,NeurifyTranslatorError(Unsupported computation graph detected),0.9692
CIFAR_P40_N38,NeurifyTranslatorError(Unsupported computation graph detected),0.9629
CIFAR_P9_N2,sat,3.2079
CIFAR_P36_N44,NeurifyTranslatorError(Unsupported computation graph detected),0.8364
CIFAR_P60_N3,NeurifyTranslatorError(Unsupported computation graph detected),1.05
CIFAR_P19_N17,timeout,3600.008
CIFAR_P87_N3,NeurifyTranslatorError(Unsupported computation graph detected),0.8939
CIFAR_P82_N2,sat,3.0835
