ProblemId,Result,TotalTime
MNIST_P13_N24,unsat,101.2863
MNIST_P1_N40,unsat,101.9332
MNIST_P1_N11,unsat,103.3797
MNIST_P7_N33,NnenumError(Return code: 1),13.3986
MNIST_P12_N5,NnenumError(Return code: 1),12.4644
MNIST_P10_N11,unsat,104.3234
MNIST_P2_N1,unsat,100.0776
MNIST_P9_N8,NnenumTranslatorError(Unknown shape for variable x_0),0.0467
MNIST_P3_N14,NnenumError(Return code: 1),12.5979
MNIST_P6_N1,unsat,94.5157
MNIST_P16_N12,NnenumError(Return code: 1),12.7727
MNIST_P3_N48,NnenumError(Return code: 1),13.0794
MNIST_P11_N8,NnenumTranslatorError(Unknown shape for variable x_0),0.0804
MNIST_P5_N41,unsat,221.9167
MNIST_P2_N4,NnenumError(Return code: 1),13.0571
MNIST_P4_N2,unsat,138.5071
MNIST_P4_N4,NnenumError(Return code: 1),13.6032
MNIST_P16_N8,NnenumTranslatorError(Unknown shape for variable x_0),0.0505
MNIST_P2_N35,unsat,103.5821
MNIST_P3_N12,NnenumError(Return code: 1),13.0105
MNIST_P7_N46,unsat,115.7475
MNIST_P3_N39,unsat,101.9446
MNIST_P14_N35,unsat,100.5337
MNIST_P3_N37,unsat,104.338
MNIST_P0_N29,unsat,105.57
MNIST_P2_N38,outofmemory,76.452
MNIST_P8_N11,outofmemory,83.082
MNIST_P6_N10,unsat,105.0785
MNIST_P12_N27,NnenumError(Return code: 1),13.1453
MNIST_P7_N37,unsat,110.8025
MNIST_P10_N40,unsat,98.2566
MNIST_P1_N44,unsat,100.4244
MNIST_P1_N21,NnenumError(Return code: 1),13.8234
MNIST_P14_N26,NnenumError(Return code: 1),11.7515
MNIST_P5_N14,NnenumError(Return code: 1),7.0023
MNIST_P8_N7,outofmemory,65.358
MNIST_P14_N29,unsat,104.2231
MNIST_P9_N20,NnenumError(Return code: 1),10.566
MNIST_P12_N49,NnenumError(Return code: 1),11.8313
MNIST_P10_N38,unsat,102.5303
MNIST_P3_N2,unsat,155.3764
MNIST_P16_N11,unsat,108.0711
MNIST_P11_N23,unsat,107.6164
MNIST_P15_N13,unsat,106.9802
MNIST_P13_N7,unsat,108.4269
MNIST_P16_N14,NnenumError(Return code: 1),10.2741
MNIST_P9_N27,NnenumError(Return code: 1),10.5814
MNIST_P10_N31,unsat,128.7939
MNIST_P1_N9,unsat,110.1241
MNIST_P13_N26,NnenumError(Return code: 1),9.4086
MNIST_P7_N10,unsat,98.5621
MNIST_P8_N44,unsat,99.8293
MNIST_P5_N39,unsat,94.9483
MNIST_P13_N3,NnenumError(Return code: 1),10.9759
MNIST_P6_N33,NnenumError(Return code: 1),12.1811
MNIST_P0_N26,NnenumError(Return code: 1),12.0116
MNIST_P7_N49,NnenumError(Return code: 1),11.042
MNIST_P9_N21,NnenumError(Return code: 1),12.3529
MNIST_P15_N16,NnenumError(Return code: 1),10.0004
MNIST_P11_N22,NnenumError(Return code: 1),11.1327
MNIST_P15_N22,NnenumError(Return code: 1),11.2635
MNIST_P3_N22,NnenumError(Return code: 1),11.798
MNIST_P3_N49,NnenumError(Return code: 1),14.1582
MNIST_P6_N48,NnenumError(Return code: 1),14.7504
MNIST_P2_N48,NnenumError(Return code: 1),14.1126
MNIST_P5_N3,NnenumError(Return code: 1),14.4461
MNIST_P13_N21,NnenumError(Return code: 1),14.1859
MNIST_P15_N4,NnenumError(Return code: 1),14.4013
MNIST_P1_N22,NnenumError(Return code: 1),14.4413
MNIST_P6_N3,NnenumError(Return code: 1),13.7524
MNIST_P12_N26,NnenumError(Return code: 1),13.2132
MNIST_P5_N48,NnenumError(Return code: 1),14.4129
MNIST_P7_N22,NnenumError(Return code: 1),13.546
MNIST_P4_N48,NnenumError(Return code: 1),13.9248
MNIST_P1_N19,NnenumError(Return code: 1),14.1684
MNIST_P9_N5,NnenumError(Return code: 1),13.0406
MNIST_P9_N16,NnenumError(Return code: 1),12.9551
MNIST_P10_N49,NnenumError(Return code: 1),13.6761
MNIST_P13_N48,NnenumError(Return code: 1),15.2018
MNIST_P0_N5,NnenumError(Return code: 1),13.0799
MNIST_P11_N49,NnenumError(Return code: 1),16.7202
MNIST_P14_N11,unsat,109.7463
MNIST_P15_N33,NnenumError(Return code: 1),17.54
MNIST_P7_N12,NnenumError(Return code: 1),17.4447
MNIST_P10_N13,unsat,107.8657
MNIST_P0_N10,unsat,108.998
MNIST_P3_N21,NnenumError(Return code: 1),18.5243
MNIST_P7_N8,NnenumTranslatorError(Unknown shape for variable x_0),0.0511
MNIST_P8_N4,NnenumError(Return code: 1),16.7301
MNIST_P6_N39,unsat,107.3523
MNIST_P8_N13,unsat,109.7045
MNIST_P8_N15,NnenumError(Return code: 1),17.8212
MNIST_P8_N46,unsat,122.2736
MNIST_P12_N20,NnenumError(Return code: 1),17.7542
MNIST_P5_N12,NnenumError(Return code: 1),17.8632
MNIST_P9_N45,unsat,107.0423
MNIST_P0_N1,unsat,109.661
MNIST_P11_N10,unsat,112.3
MNIST_P14_N36,unsat,126.7949
MNIST_P13_N15,NnenumError(Return code: 1),11.7916
MNIST_P14_N48,NnenumError(Return code: 1),10.1918
MNIST_P0_N12,NnenumError(Return code: 1),11.7365
MNIST_P10_N17,NnenumError(Return code: 1),12.4763
MNIST_P1_N26,NnenumError(Return code: 1),13.4017
MNIST_P7_N19,NnenumError(Return code: 1),12.8121
MNIST_P11_N5,NnenumError(Return code: 1),21.944
MNIST_P14_N45,unsat,106.7341
MNIST_P14_N17,NnenumError(Return code: 1),21.2971
MNIST_P15_N14,NnenumError(Return code: 1),21.2582
MNIST_P14_N8,NnenumTranslatorError(Invalid property: Comparing expressions with different shapes is not supported),0.1041
MNIST_P3_N26,NnenumError(Return code: 1),21.3948
MNIST_P3_N19,NnenumError(Return code: 1),21.1646
MNIST_P11_N40,unsat,109.2189
MNIST_P14_N22,NnenumError(Return code: 1),20.7968
MNIST_P1_N37,unsat,112.8085
MNIST_P4_N34,unsat,109.8411
MNIST_P13_N44,unsat,112.8418
MNIST_P15_N12,NnenumError(Return code: 1),18.7526
MNIST_P8_N47,unsat,114.0564
MNIST_P15_N26,NnenumError(Return code: 1),19.9733
MNIST_P0_N3,NnenumError(Return code: 1),21.089
MNIST_P13_N5,NnenumError(Return code: 1),21.6879
MNIST_P4_N1,unsat,106.6051
MNIST_P5_N20,NnenumError(Return code: 1),20.1439
MNIST_P7_N34,unsat,107.2909
MNIST_P6_N36,unsat,123.9297
MNIST_P14_N10,unsat,98.2094
MNIST_P5_N49,NnenumError(Return code: 1),9.8201
MNIST_P15_N29,unsat,98.9891
MNIST_P7_N29,unsat,99.5397
MNIST_P10_N4,NnenumError(Return code: 1),13.3024
MNIST_P6_N16,NnenumError(Return code: 1),12.296
MNIST_P1_N29,unsat,95.4139
MNIST_P1_N27,NnenumError(Return code: 1),14.4114
MNIST_P4_N31,unsat,112.356
MNIST_P0_N13,unsat,97.122
MNIST_P14_N33,NnenumError(Return code: 1),14.1871
MNIST_P11_N38,unsat,100.2114
MNIST_P2_N20,NnenumError(Return code: 1),13.2899
MNIST_P0_N8,NnenumTranslatorError(Unknown shape for variable x_0),0.1597
MNIST_P1_N20,NnenumError(Return code: 1),7.3159
MNIST_P1_N23,unsat,92.327
MNIST_P2_N14,NnenumError(Return code: 1),10.1058
MNIST_P4_N26,NnenumError(Return code: 1),9.1679
MNIST_P6_N49,NnenumError(Return code: 1),9.6304
MNIST_P7_N16,NnenumError(Return code: 1),8.9644
MNIST_P8_N3,NnenumError(Return code: 1),9.1425
MNIST_P9_N38,unsat,104.3894
MNIST_P3_N9,unsat,108.5688
MNIST_P12_N24,unsat,102.4135
MNIST_P5_N16,NnenumError(Return code: 1),9.9099
MNIST_P13_N34,unsat,100.482
MNIST_P0_N31,unsat,120.8377
MNIST_P0_N40,unsat,102.7658
MNIST_P14_N18,NnenumError(Return code: 1),11.1462
MNIST_P5_N4,NnenumError(Return code: 1),11.7637
MNIST_P3_N5,NnenumError(Return code: 1),11.1145
MNIST_P8_N24,outofmemory,121.581
MNIST_P16_N15,NnenumError(Return code: 1),10.1525
MNIST_P10_N24,unsat,109.1934
MNIST_P15_N46,unsat,119.2675
MNIST_P4_N35,unsat,103.004
MNIST_P5_N7,unsat,110.7663
MNIST_P3_N41,unsat,276.3119
MNIST_P6_N22,NnenumError(Return code: 1),12.2293
MNIST_P15_N36,unsat,140.8588
MNIST_P3_N4,NnenumError(Return code: 1),12.1366
MNIST_P14_N16,NnenumError(Return code: 1),12.05
MNIST_P6_N45,unsat,105.6755
MNIST_P1_N47,unsat,124.7966
MNIST_P5_N47,unsat,124.5928
MNIST_P6_N12,NnenumError(Return code: 1),11.4852
MNIST_P14_N39,unsat,102.279
MNIST_P6_N7,unsat,105.3842
MNIST_P0_N4,NnenumError(Return code: 1),11.8149
MNIST_P9_N49,NnenumError(Return code: 1),11.6013
MNIST_P15_N41,unsat,266.7895
MNIST_P11_N33,NnenumError(Return code: 1),11.121
MNIST_P9_N37,unsat,112.1695
MNIST_P4_N46,unsat,111.3441
MNIST_P12_N16,NnenumError(Return code: 1),11.3695
MNIST_P7_N7,unsat,101.0046
MNIST_P16_N7,unsat,99.6458
MNIST_P15_N42,unsat,94.0078
MNIST_P2_N26,NnenumError(Return code: 1),11.1272
MNIST_P9_N22,NnenumError(Return code: 1),11.4287
MNIST_P6_N14,NnenumError(Return code: 1),10.8975
MNIST_P12_N35,unsat,93.848
MNIST_P15_N18,NnenumError(Return code: 1),10.6094
MNIST_P11_N4,NnenumError(Return code: 1),10.9115
MNIST_P1_N34,unsat,91.5346
MNIST_P15_N31,unsat,128.3556
MNIST_P7_N25,unsat,122.3366
MNIST_P0_N18,NnenumError(Return code: 1),11.0631
MNIST_P5_N18,NnenumError(Return code: 1),10.095
MNIST_P11_N14,NnenumError(Return code: 1),10.7265
MNIST_P1_N14,NnenumError(Return code: 1),10.8036
MNIST_P7_N36,unsat,134.1241
MNIST_P13_N25,unsat,129.7661
MNIST_P0_N47,unsat,111.1896
MNIST_P10_N16,NnenumError(Return code: 1),10.3516
MNIST_P9_N17,NnenumError(Return code: 1),8.9807
MNIST_P6_N4,NnenumError(Return code: 1),11.0077
MNIST_P14_N47,unsat,114.3951
MNIST_P11_N15,NnenumError(Return code: 1),12.0961
MNIST_P11_N3,NnenumError(Return code: 1),9.5433
MNIST_P8_N23,unsat,93.9243
MNIST_P14_N19,NnenumError(Return code: 1),9.2217
MNIST_P4_N25,unsat,124.844
MNIST_P5_N11,unsat,98.9308
MNIST_P12_N40,unsat,97.5694
MNIST_P15_N25,unsat,135.603
MNIST_P8_N19,NnenumError(Return code: 1),8.6154
MNIST_P3_N11,unsat,98.221
MNIST_P15_N38,outofmemory,75.387
MNIST_P7_N31,unsat,130.3984
MNIST_P7_N47,outofmemory,154.943
MNIST_P11_N39,unsat,101.6999
MNIST_P1_N33,NnenumError(Return code: 1),10.178
MNIST_P7_N26,NnenumError(Return code: 1),12.2046
MNIST_P3_N20,NnenumError(Return code: 1),12.7553
