ProblemId,Result,TotalTime
MNIST_P60_N21,NeurifyTranslatorError(Unsupported activation: None),2.0503
MNIST_P50_N11,unsat,16.5582
MNIST_P75_N15,NeurifyTranslatorError(Unsupported activation: None),1.6247
MNIST_P87_N21,NeurifyTranslatorError(Unsupported activation: None),1.5663
MNIST_P16_N37,NeurifyTranslatorError(Unsupported activation: None),1.5074
MNIST_P17_N20,NeurifyTranslatorError(Unsupported computation graph detected),1.4289
MNIST_P89_N37,NeurifyTranslatorError(Unsupported activation: None),1.3651
MNIST_P5_N49,NeurifyTranslatorError(Unsupported activation: None),0.9627
MNIST_P71_N11,unsat,15.9643
MNIST_P48_N10,unsat,10.1659
MNIST_P37_N14,NeurifyTranslatorError(Unsupported activation: None),0.8953
MNIST_P57_N7,"NeurifyTranslatorError(Unsupported number of axes for network input. Expected 4 or 2, got 3)",1.6359
MNIST_P79_N7,"NeurifyTranslatorError(Unsupported number of axes for network input. Expected 4 or 2, got 3)",1.7477
MNIST_P10_N38,unsat,27.1278
MNIST_P95_N8,IOPolytopeReductionError(Unknown shape for variable x_),0.4325
MNIST_P17_N46,NeurifyTranslatorError(Unsupported activation: None),1.1738
MNIST_P38_N5,NeurifyTranslatorError(Unsupported activation: None),1.8004
MNIST_P38_N29,unsat,12.2474
MNIST_P7_N36,NeurifyTranslatorError(Unsupported activation: None),1.7939
MNIST_P18_N27,"NeurifyTranslatorError(Unsupported number of axes for network input. Expected 4 or 2, got 3)",0.6527
MNIST_P3_N27,"NeurifyTranslatorError(Unsupported number of axes for network input. Expected 4 or 2, got 3)",0.6335
MNIST_P54_N15,NeurifyTranslatorError(Unsupported activation: None),1.6735
MNIST_P70_N11,unsat,17.0704
MNIST_P62_N9,NeurifyTranslatorError(Unsupported activation: None),0.9972
MNIST_P24_N42,unsat,8.8913
MNIST_P7_N21,NeurifyTranslatorError(Unsupported activation: None),2.0567
MNIST_P35_N5,NeurifyTranslatorError(Unsupported activation: None),1.9318
MNIST_P52_N39,unsat,12.0622
MNIST_P88_N24,unsat,6.7735
MNIST_P38_N23,unsat,13.028
MNIST_P29_N4,NeurifyTranslatorError(Unsupported activation: None),1.9124
MNIST_P34_N26,NeurifyTranslatorError(Unsupported computation graph detected),0.9166
MNIST_P10_N14,NeurifyTranslatorError(Unsupported activation: None),1.3755
