ProblemId,Result,TotalTime
MNIST_P81_N19,unsat,109.2329
MNIST_P63_N7,timeout,3600.005
MNIST_P39_N21,unsat,110.0097
MNIST_P36_N45,unsat,101.1542
MNIST_P38_N35,unsat,101.3774
MNIST_P56_N16,VerinetTranslatorError(Div operations are not supported.),0.5612
MNIST_P64_N22,unsat,112.6312
MNIST_P67_N21,unsat,109.9556
MNIST_P3_N9,unsat,109.506
MNIST_P72_N7,unsat,101.4317
MNIST_P73_N4,unsat,110.74
MNIST_P90_N29,unsat,103.3933
MNIST_P6_N42,unsat,101.1182
MNIST_P19_N17,VerinetTranslatorError(MaxPool operations are not supported.),0.4611
MNIST_P36_N20,VerinetTranslatorError(MaxPool operations are not supported.),0.9377
MNIST_P11_N23,unsat,101.1765
MNIST_P12_N40,unsat,101.5878
MNIST_P8_N40,unsat,101.9983
MNIST_P58_N34,unsat,99.612
MNIST_P69_N39,unsat,103.0623
MNIST_P33_N41,unsat,161.4555
MNIST_P70_N15,unsat,110.5071
MNIST_P66_N46,unsat,111.0069
MNIST_P68_N13,unsat,101.4151
MNIST_P68_N26,VerinetTranslatorError(MaxPool operations are not supported.),0.7795
MNIST_P78_N13,unsat,77.9095
MNIST_P74_N25,unsat,81.1199
MNIST_P93_N21,unsat,87.2978
MNIST_P34_N42,unsat,90.8228
MNIST_P93_N45,unsat,90.9416
MNIST_P40_N26,VerinetTranslatorError(MaxPool operations are not supported.),0.4863
MNIST_P44_N9,unsat,100.501
MNIST_P95_N48,unsat,105.4835
MNIST_P96_N21,unsat,102.5662
MNIST_P93_N33,unsat,108.3682
MNIST_P27_N47,unsat,99.5924
MNIST_P85_N15,unsat,102.2126
MNIST_P15_N1,unsat,92.8209
MNIST_P62_N37,unsat,102.1576
MNIST_P36_N18,unsat,101.7623
MNIST_P48_N21,unsat,102.9246
MNIST_P52_N8,VerinetTranslatorError(Unknown shape for variable x_0),0.0817
MNIST_P84_N17,VerinetTranslatorError(MaxPool operations are not supported.),0.5397
MNIST_P48_N23,unsat,96.5298
