ProblemId,Result,TotalTime
MNIST_P79_N40,timeout,3600.019
MNIST_P15_N35,timeout,3600.049
MNIST_P6_N17,BabTranslatorError(Unsupported computation graph detected),1.7663
MNIST_P26_N16,BabTranslatorError(Unsupported computation graph detected),2.6289
MNIST_P60_N41,outofmemory,1411.081
MNIST_P30_N41,outofmemory,1477.517
MNIST_P14_N15,BabTranslatorError(Unsupported activation type: sigmoid),4.0806
MNIST_P43_N25,timeout,3600.039
MNIST_P43_N15,BabTranslatorError(Unsupported activation type: sigmoid),3.642
MNIST_P4_N18,BabTranslatorError(Unsupported activation type: sigmoid),3.5438
MNIST_P4_N7,timeout,3600.012
MNIST_P28_N34,unsat,2236.9861
MNIST_P19_N8,BabTranslatorError(Unknown shape for variable x_0),0.1257
MNIST_P89_N15,BabTranslatorError(Unsupported activation type: sigmoid),3.4294
MNIST_P78_N25,timeout,3600.03
MNIST_P16_N31,timeout,3600.02
MNIST_P39_N24,timeout,3600.007
MNIST_P36_N34,unsat,2201.8091
MNIST_P74_N38,timeout,3600.045
MNIST_P23_N42,timeout,3600.039
MNIST_P8_N49,BabTranslatorError(Unsupported activation type: sigmoid),13.2993
MNIST_P30_N34,unsat,2247.3358
MNIST_P4_N19,BabTranslatorError(Unsupported activation type: tanh),4.1423
MNIST_P64_N20,BabTranslatorError(Unsupported computation graph detected),4.1652
MNIST_P84_N20,BabTranslatorError(Unsupported computation graph detected),4.1012
MNIST_P56_N11,timeout,3600.005
MNIST_P26_N10,timeout,3600.022
MNIST_P21_N38,timeout,3600.049
MNIST_P5_N49,BabTranslatorError(Unsupported activation type: sigmoid),14.3783
MNIST_P18_N46,timeout,3600.046
MNIST_P31_N34,unsat,2278.3192
MNIST_P71_N36,timeout,3600.05
MNIST_P15_N46,timeout,3600.047
MNIST_P72_N44,timeout,3600.015
MNIST_P88_N1,timeout,3600.046
MNIST_P50_N9,timeout,3600.04
MNIST_P77_N17,BabTranslatorError(Unsupported computation graph detected),2.2792
MNIST_P28_N27,sat,39.4324
MNIST_P49_N1,timeout,3600.008
MNIST_P50_N47,timeout,3600.031
MNIST_P83_N14,BabTranslatorError(Unsupported activation type: sigmoid),16.3372
MNIST_P57_N27,sat,2.4634
MNIST_P54_N24,timeout,3600.004
MNIST_P91_N5,BabTranslatorError(Unsupported activation type: sigmoid),4.173
MNIST_P4_N45,unsat,1109.4081
MNIST_P64_N15,BabTranslatorError(Unsupported activation type: sigmoid),3.6259
MNIST_P47_N21,BabTranslatorError(Unsupported activation type: tanh),3.7936
MNIST_P82_N24,timeout,3600.035
MNIST_P74_N37,timeout,3600.011
MNIST_P90_N42,timeout,3600.013
MNIST_P63_N39,timeout,3600.009
MNIST_P81_N31,timeout,3600.01
MNIST_P29_N14,BabTranslatorError(Unsupported activation type: sigmoid),14.6361
MNIST_P52_N21,BabTranslatorError(Unsupported activation type: tanh),3.9249
MNIST_P26_N46,timeout,3600.039
MNIST_P25_N18,BabTranslatorError(Unsupported activation type: sigmoid),3.7182
MNIST_P68_N9,timeout,3600.013
MNIST_P32_N37,timeout,3600.009
MNIST_P55_N45,unsat,1079.8463
MNIST_P67_N3,BabTranslatorError(Unsupported computation graph detected),2.3285
MNIST_P38_N20,BabTranslatorError(Unsupported computation graph detected),4.2653
MNIST_P2_N41,outofmemory,1399.521
MNIST_P46_N14,BabTranslatorError(Unsupported activation type: sigmoid),14.3819
MNIST_P89_N21,BabTranslatorError(Unsupported activation type: tanh),3.9794
MNIST_P3_N38,timeout,3600.025
MNIST_P18_N34,unsat,2159.1063
MNIST_P11_N19,BabTranslatorError(Unsupported activation type: tanh),3.8414
MNIST_P99_N12,timeout,3600.025
MNIST_P94_N15,BabTranslatorError(Unsupported activation type: sigmoid),3.6875
MNIST_P1_N23,timeout,3600.005
MNIST_P52_N40,timeout,3600.049
MNIST_P11_N12,timeout,3600.043
MNIST_P51_N17,BabTranslatorError(Unsupported computation graph detected),1.8916
MNIST_P5_N3,BabTranslatorError(Unsupported computation graph detected),2.3948
MNIST_P74_N41,outofmemory,1476.264
MNIST_P83_N9,timeout,3600.002
MNIST_P92_N12,timeout,3600.045
MNIST_P2_N12,timeout,3600.058
