ProblemId,Result,TotalTime
MNIST_P24_N27,timeout,3600.001
MNIST_P30_N25,unsat,315.6015
MNIST_P51_N49,outofmemory,78.196
MNIST_P80_N21,MarabouError(Return code: 1),8.7674
MNIST_P70_N45,timeout,3600.006
MNIST_P96_N29,unsat,84.5598
MNIST_P14_N20,outofmemory,43.525
MNIST_P46_N35,outofmemory,277.09
MNIST_P46_N7,timeout,3600.012
MNIST_P78_N2,outofmemory,197.631
MNIST_P78_N18,timeout,3600.0
MNIST_P50_N13,timeout,3600.022
MNIST_P97_N38,outofmemory,2280.557
MNIST_P99_N14,outofmemory,78.117
MNIST_P64_N44,timeout,3600.009
MNIST_P47_N25,unsat,298.4563
MNIST_P88_N33,MarabouError(Return code: 1),4.5871
MNIST_P40_N49,outofmemory,80.366
MNIST_P65_N20,outofmemory,40.574
MNIST_P87_N39,outofmemory,1586.858
MNIST_P30_N37,unsat,348.6864
MNIST_P45_N20,outofmemory,44.438
MNIST_P64_N49,outofmemory,81.685
MNIST_P49_N41,outofmemory,104.553
MNIST_P93_N11,outofmemory,350.408
MNIST_P30_N18,timeout,3600.003
MNIST_P47_N41,outofmemory,88.141
MNIST_P59_N22,MarabouError(Return code: 1),3.0553
MNIST_P4_N3,outofmemory,26.267
MNIST_P51_N12,MarabouError(Return code: 1),3.8073
MNIST_P58_N33,MarabouError(Return code: 1),3.0849
MNIST_P87_N13,timeout,3600.012
MNIST_P10_N21,MarabouError(Return code: 1),6.2536
MNIST_P53_N18,timeout,3600.011
MNIST_P6_N12,MarabouError(Return code: 1),3.1587
MNIST_P44_N19,MarabouError(Return code: 1),5.9263
MNIST_P17_N12,MarabouError(Return code: 1),2.5454
MNIST_P19_N12,MarabouError(Return code: 1),2.5799
MNIST_P72_N45,timeout,3600.007
MNIST_P99_N24,outofmemory,182.634
MNIST_P29_N14,outofmemory,56.115
MNIST_P32_N37,unsat,311.3762
MNIST_P0_N33,MarabouError(Return code: 1),2.9652
MNIST_P2_N8,IOPolytopeReductionError(Invalid property: Comparing expressions with different shapes is not supported),0.5259
MNIST_P67_N26,timeout,3600.017
MNIST_P85_N7,timeout,3600.014
MNIST_P54_N18,timeout,3600.022
MNIST_P83_N40,unsat,57.7484
MNIST_P59_N16,MarabouError(Return code: 1),1.6958
MNIST_P94_N44,outofmemory,682.675
MNIST_P91_N17,outofmemory,18.211
MNIST_P80_N38,timeout,3600.006
MNIST_P74_N24,outofmemory,1416.011
MNIST_P10_N18,timeout,3600.015
MNIST_P57_N16,MarabouError(Return code: 1),1.1072
MNIST_P98_N15,outofmemory,78.812
MNIST_P23_N24,outofmemory,136.184
MNIST_P95_N33,MarabouError(Return code: 1),2.5934
MNIST_P26_N11,outofmemory,530.173
MNIST_P42_N10,outofmemory,217.843
MNIST_P44_N41,outofmemory,62.201
MNIST_P79_N16,MarabouError(Return code: 1),1.3273
MNIST_P85_N40,unsat,55.824
MNIST_P91_N12,MarabouError(Return code: 1),1.5476
MNIST_P42_N31,unsat,261.5887
MNIST_P2_N24,outofmemory,280.171
MNIST_P18_N46,unsat,284.7506
MNIST_P49_N33,MarabouError(Return code: 1),1.4924
MNIST_P66_N15,outofmemory,75.119
MNIST_P3_N45,timeout,3600.023
MNIST_P42_N7,outofmemory,1463.093
MNIST_P62_N21,MarabouError(Return code: 1),3.968
MNIST_P77_N13,timeout,3600.017
MNIST_P71_N24,timeout,3600.036
MNIST_P78_N40,unsat,47.9868
MNIST_P85_N11,outofmemory,218.707
MNIST_P5_N17,outofmemory,15.998
MNIST_P33_N21,MarabouError(Return code: 1),3.4159
MNIST_P96_N27,timeout,3600.006
MNIST_P34_N8,IOPolytopeReductionError(Unknown shape for variable x_),0.4216
MNIST_P8_N37,unsat,265.0783
MNIST_P90_N3,outofmemory,13.808
MNIST_P38_N26,timeout,3600.001
MNIST_P72_N40,unsat,45.6402
MNIST_P10_N17,outofmemory,15.482
MNIST_P23_N48,outofmemory,39.22
MNIST_P58_N7,outofmemory,413.44
MNIST_P66_N3,outofmemory,12.099
MNIST_P41_N24,outofmemory,110.153
MNIST_P99_N31,unsat,226.6942
MNIST_P26_N26,timeout,3600.0
MNIST_P27_N35,timeout,3600.028
MNIST_P54_N46,unsat,243.9678
MNIST_P15_N17,outofmemory,16.582
MNIST_P68_N4,MarabouError(Return code: 1),3.0044
MNIST_P39_N31,unsat,233.4674
MNIST_P17_N20,outofmemory,17.602
MNIST_P63_N20,outofmemory,17.416
MNIST_P64_N33,MarabouError(Return code: 1),1.4098
MNIST_P12_N29,unsat,41.4448
MNIST_P44_N18,outofmemory,62.201
MNIST_P86_N20,outofmemory,17.104
MNIST_P97_N10,outofmemory,202.319
MNIST_P29_N18,timeout,3600.02
MNIST_P83_N3,outofmemory,12.969
MNIST_P99_N48,outofmemory,38.016
MNIST_P47_N2,outofmemory,144.72
MNIST_P79_N48,outofmemory,42.183
MNIST_P91_N25,unsat,214.5145
MNIST_P76_N44,outofmemory,368.082
MNIST_P30_N27,timeout,3600.009
MNIST_P25_N47,outofmemory,59.593
MNIST_P23_N16,MarabouError(Return code: 1),1.0516
MNIST_P60_N38,outofmemory,2084.859
MNIST_P45_N15,outofmemory,68.504
MNIST_P79_N42,unsat,21.329
MNIST_P35_N7,timeout,3600.009
MNIST_P98_N24,timeout,3600.007
MNIST_P98_N21,MarabouError(Return code: 1),4.1467
MNIST_P27_N14,outofmemory,39.6
MNIST_P66_N7,outofmemory,2061.085
MNIST_P97_N9,unsat,265.2475
MNIST_P47_N22,MarabouError(Return code: 1),1.9055
MNIST_P67_N45,timeout,3600.009
MNIST_P94_N9,unsat,267.1473
MNIST_P5_N18,timeout,3600.005
MNIST_P34_N16,MarabouError(Return code: 1),1.1131
MNIST_P50_N24,timeout,3600.007
MNIST_P20_N34,timeout,3600.003
MNIST_P45_N21,MarabouError(Return code: 1),3.2938
MNIST_P71_N23,unsat,44.7086
MNIST_P90_N13,timeout,3600.009
MNIST_P14_N16,MarabouError(Return code: 1),1.1317
MNIST_P57_N39,outofmemory,1316.877
MNIST_P88_N10,timeout,3600.058
MNIST_P18_N45,timeout,3600.013
MNIST_P21_N10,outofmemory,165.989
MNIST_P64_N4,MarabouError(Return code: 1),3.7626
MNIST_P81_N36,unsat,258.85
MNIST_P37_N44,outofmemory,1473.264
MNIST_P27_N12,MarabouError(Return code: 1),1.3168
MNIST_P26_N40,unsat,47.1579
MNIST_P31_N40,unsat,49.0362
MNIST_P61_N27,timeout,3600.01
MNIST_P8_N41,outofmemory,58.417
MNIST_P39_N13,timeout,3600.027
MNIST_P44_N1,timeout,3600.003
MNIST_P26_N37,unsat,298.3931
MNIST_P35_N41,outofmemory,58.497
MNIST_P79_N11,outofmemory,217.615
MNIST_P3_N13,timeout,3600.022
MNIST_P40_N37,unsat,245.1084
MNIST_P97_N36,unsat,223.0894
MNIST_P17_N38,timeout,3600.018
MNIST_P70_N40,unsat,44.6367
MNIST_P44_N48,outofmemory,35.971
MNIST_P71_N29,unsat,42.8921
MNIST_P96_N13,timeout,3600.022
MNIST_P72_N4,MarabouError(Return code: 1),3.3567
MNIST_P85_N44,timeout,3600.011
MNIST_P96_N41,outofmemory,54.296
MNIST_P19_N11,outofmemory,496.994
MNIST_P39_N9,unsat,252.3063
MNIST_P98_N38,outofmemory,2187.487
MNIST_P40_N3,outofmemory,14.088
MNIST_P98_N22,MarabouError(Return code: 1),1.4076
MNIST_P3_N1,timeout,3600.021
MNIST_P12_N19,MarabouError(Return code: 1),3.5299
MNIST_P44_N26,timeout,3600.023
MNIST_P89_N46,unsat,248.7352
MNIST_P60_N45,timeout,3600.014
MNIST_P41_N14,outofmemory,34.849
MNIST_P17_N42,unsat,18.8938
MNIST_P49_N29,unsat,41.8312
MNIST_P62_N18,timeout,3600.006
MNIST_P3_N31,unsat,230.1342
MNIST_P21_N26,outofmemory,48.349
MNIST_P77_N44,outofmemory,336.954
MNIST_P34_N29,unsat,41.44
MNIST_P37_N49,outofmemory,36.617
MNIST_P20_N24,outofmemory,113.945
MNIST_P63_N9,unsat,242.9309
MNIST_P72_N23,unsat,41.6041
MNIST_P77_N19,MarabouError(Return code: 1),3.799
MNIST_P2_N47,outofmemory,49.108
MNIST_P59_N27,timeout,3600.001
MNIST_P45_N44,outofmemory,131.653
MNIST_P83_N11,outofmemory,175.769
MNIST_P85_N26,timeout,3600.001
MNIST_P47_N14,outofmemory,38.733
MNIST_P7_N45,timeout,3600.018
MNIST_P20_N15,timeout,3600.012
MNIST_P64_N46,unsat,293.3495
MNIST_P30_N24,outofmemory,129.624
MNIST_P61_N16,MarabouError(Return code: 1),1.7776
MNIST_P24_N17,outofmemory,18.63
MNIST_P54_N41,outofmemory,73.208
MNIST_P81_N38,outofmemory,1470.254
MNIST_P99_N39,outofmemory,631.302
MNIST_P65_N38,timeout,3600.002
MNIST_P32_N8,IOPolytopeReductionError(Unknown shape for variable x_),0.1902
MNIST_P25_N23,unsat,51.8375
MNIST_P26_N48,outofmemory,45.303
MNIST_P56_N29,unsat,50.8789
MNIST_P83_N20,outofmemory,23.15
MNIST_P83_N44,outofmemory,1001.869
MNIST_P28_N21,MarabouError(Return code: 1),4.4172
MNIST_P96_N5,timeout,3600.015
MNIST_P98_N23,unsat,54.8317
MNIST_P18_N9,unsat,263.2701
MNIST_P22_N15,outofmemory,70.43
MNIST_P98_N33,MarabouError(Return code: 1),1.5567
MNIST_P9_N39,outofmemory,1192.365
MNIST_P88_N31,unsat,231.7666
MNIST_P24_N44,outofmemory,1776.228
MNIST_P31_N10,outofmemory,330.84
MNIST_P36_N31,unsat,237.1957
MNIST_P53_N13,timeout,3600.017
MNIST_P37_N47,outofmemory,52.404
MNIST_P72_N42,unsat,22.1158
MNIST_P58_N37,unsat,263.2199
MNIST_P90_N27,timeout,3600.016
MNIST_P17_N23,unsat,48.8868
MNIST_P96_N1,timeout,3600.053
MNIST_P45_N1,timeout,3600.037
MNIST_P43_N20,outofmemory,17.831
MNIST_P16_N12,MarabouError(Return code: 1),1.5138
MNIST_P21_N29,unsat,42.5078
MNIST_P16_N40,unsat,43.4601
